sku,month,price_eur,units,demand_baseline
S0028,2025-11,1.94,5.4,5.05
S0028,2025-12,1.55,38.4,23.89
S0028,2026-01,1.94,19.7,20.45
S0028,2026-02,1.94,33.1,32.3
S0028,2026-03,1.94,33.5,32.78
S0028,2026-04,1.54,65.3,43.11
S0028,2026-05,1.7,49.3,42.66
S0028,2026-06,1.94,33.6,35.64
S0029,2024-07,13.45,79.0,76.16
S0029,2024-08,13.45,113.5,112.36
S0029,2024-09,13.45,109.2,109.27
S0029,2024-10,10.99,205.6,141.82
S0029,2024-11,10.62,85.4,57.26
S0029,2024-12,13.45,90.3,92.55
S0029,2025-01,13.45,100.5,101.17
S0029,2025-02,13.45,49.8,51.41
S0029,2025-03,11.04,175.0,123.66
S0029,2025-04,10.65,255.9,179.47
S0029,2025-05,13.45,172.3,170.57
S0029,2025-06,13.45,81.4,81.7
S0029,2025-07,13.45,146.4,143.46
S0029,2025-08,13.45,102.4,105.17
S0029,2025-09,13.45,97.4,90.41
S0029,2025-10,10.37,229.4,158.33
S0029,2025-11,13.45,136.2,127.62
S0029,2025-12,11.56,121.0,103.31
S0029,2026-01,13.45,91.4,93.41
S0029,2026-02,13.45,136.3,129.88
S0029,2026-03,12.53,125.0,121.91
S0029,2026-04,13.45,115.0,116.09
S0029,2026-05,12.52,131.9,116.61
S0029,2026-06,13.45,129.4,132.9
S0030,2024-07,1.46,11.5,12.41
S0030,2024-08,1.46,33.6,31.14
S0030,2024-09,1.46,26.2,27.31
S0030,2024-10,1.46,35.0,33.56
S0030,2024-11,1.46,17.3,17.0
S0030,2024-12,1.46,22.7,24.09
S0030,2025-01,1.46,14.6,14.58
S0030,2025-02,1.46,9.9,9.76
S0030,2025-03,1.24,24.8,17.98
S0030,2025-04,1.46,16.3,16.67
S0030,2025-05,1.46,13.7,14.32
S0030,2025-06,1.46,22.6,21.53
S0030,2025-07,1.46,24.2,24.29
S0030,2025-08,1.46,17.4,20.05
S0030,2025-09,1.46,16.6,15.97
S0030,2025-10,1.25,45.2,33.3
S0030,2025-11,1.46,33.8,33.58
S0030,2025-12,1.46,1.9,2.02
S0030,2026-01,1.46,16.3,17.27
S0030,2026-02,1.46,7.9,7.68
S0030,2026-03,1.28,21.1,17.2
S0030,2026-04,1.46,23.8,24.34
S0030,2026-05,1.46,9.6,9.68
S0030,2026-06,1.27,26.0,21.06
S0031,2024-07,226.41,30.4,32.3
S0031,2024-08,226.41,40.2,40.08
S0031,2024-09,226.41,27.3,29.01
S0031,2024-10,226.41,28.5,30.25
S0031,2024-11,209.22,41.6,37.14
S0031,2024-12,174.29,52.5,33.22
S0031,2025-01,226.41,27.6,27.57
S0031,2025-02,226.41,16.7,16.6
S0031,2025-03,185.99,64.1,44.9
S0031,2025-04,226.41,21.0,21.95
S0031,2025-05,204.05,31.5,25.48
S0031,2025-06,226.41,33.0,34.16
S0031,2025-07,226.41,22.7,21.62
S0031,2025-08,226.41,15.4,15.25
S0031,2025-09,226.41,35.4,40.28
S0031,2025-10,226.41,16.6,18.55
S0031,2025-11,226.41,31.8,30.22
S0031,2025-12,226.41,26.3,24.45
S0031,2026-01,226.41,21.4,20.84
S0031,2026-02,179.7,28.2,19.42
S0031,2026-03,184.73,43.0,26.94
S0031,2026-04,213.45,57.6,52.72
S0031,2026-05,226.41,33.0,35.99
S0031,2026-06,226.41,9.3,9.51
S0032,2024-07,11.55,5.4,4.33
S0032,2024-08,12.9,5.1,5.12
S0032,2024-09,12.9,5.4,5.53
S0032,2024-10,10.67,8.3,6.35
S0032,2024-11,10.71,9.8,8.14
S0032,2024-12,12.9,5.8,5.69
S0032,2025-01,10.29,4.3,3.26
S0032,2025-02,12.9,3.8,4.64
S0032,2025-03,12.19,6.1,5.82
S0032,2025-04,11.34,9.6,6.97
S0032,2025-05,12.9,5.9,5.83
S0032,2025-06,12.9,5.1,5.43
S0032,2025-07,12.9,4.5,4.75
S0032,2025-08,12.18,5.9,5.28
S0032,2025-09,10.79,7.5,5.62
S0032,2025-10,12.9,6.8,6.42
S0032,2025-11,12.9,8.1,8.39
S0032,2025-12,10.58,7.9,5.72
S0032,2026-01,12.9,4.9,4.68
S0032,2026-02,11.2,7.0,5.47
S0032,2026-03,12.9,8.3,8.26
S0032,2026-04,12.9,4.5,5.04
S0032,2026-05,12.9,6.9,7.2
S0032,2026-06,12.9,5.9,6.21
S0033,2024-07,28.96,9.3,6.36
S0033,2024-08,28.99,6.8,4.95
S0033,2024-09,34.75,6.0,6.36
S0033,2024-10,32.49,11.6,11.08
S0033,2024-11,34.75,13.4,11.15
S0033,2024-12,34.75,6.5,6.16
S0033,2025-01,31.27,10.7,9.37
S0033,2025-02,34.75,11.1,10.83
S0033,2025-03,34.75,12.4,11.33
S0033,2025-04,34.75,8.1,8.98
S0033,2025-05,34.75,7.2,6.99
S0033,2025-06,30.63,10.8,8.18
S0033,2025-07,34.75,6.8,6.86
S0033,2025-08,34.75,8.7,9.44
S0033,2025-09,34.75,9.2,8.09
S0033,2025-10,31.03,9.8,7.98
S0033,2025-11,32.48,12.4,11.84
S0033,2025-12,34.75,7.9,7.85
S0033,2026-01,34.75,8.4,7.92
S0033,2026-02,34.75,5.6,5.45
S0033,2026-03,27.94,5.5,3.67
S0033,2026-04,34.75,8.9,9.14
S0033,2026-05,29.36,9.6,7.47
S0033,2026-06,34.75,4.4,4.73
S0034,2024-07,4.22,35.8,37.76
S0034,2024-08,3.43,9.4,6.96
S0034,2024-09,4.22,19.5,19.46
S0034,2024-10,3.35,96.1,64.97
S0034,2024-11,3.96,75.8,66.04
S0034,2024-12,4.22,59.4,61.73
S0034,2025-01,3.77,35.2,27.79
S0034,2025-02,4.22,47.9,47.2
S0034,2025-03,4.22,67.6,67.45
S0034,2025-04,4.22,13.4,12.88
S0034,2025-05,4.22,40.2,37.44
S0034,2025-06,4.22,80.2,73.03
S0034,2025-07,3.47,61.8,43.65
S0034,2025-08,3.6,54.6,40.17
S0034,2025-09,4.0,58.7,55.49
S0034,2025-10,4.22,65.8,65.04
S0034,2025-11,4.22,57.1,55.99
S0034,2025-12,3.82,97.4,83.76
S0034,2026-01,4.22,79.1,75.89
S0034,2026-02,4.22,49.1,43.11
S0034,2026-03,4.22,54.7,52.41
S0034,2026-04,4.22,103.6,99.71
S0034,2026-05,4.22,62.6,66.46
S0034,2026-06,3.42,98.0,69.09
S0035,2024-07,11.34,219.3,230.0
S0035,2024-08,11.34,282.5,285.49
S0035,2024-09,11.34,208.7,198.1
S0035,2024-10,10.51,341.2,325.52
S0035,2024-11,11.34,279.5,306.1
S0035,2024-12,11.34,305.3,293.5
S0035,2025-01,11.34,390.4,389.0
S0035,2025-02,11.34,202.1,197.41
S0035,2025-03,10.15,317.2,265.81
S0035,2025-04,8.99,309.5,248.06
S0035,2025-05,11.34,372.3,358.53
S0035,2025-06,11.34,203.3,212.25
S0035,2025-07,11.34,255.2,247.11
S0035,2025-08,11.34,200.6,200.66
S0035,2025-09,10.68,349.0,317.81
S0035,2025-10,9.69,429.3,335.73
S0035,2025-11,9.98,310.7,260.57
S0035,2025-12,11.34,154.0,146.95
S0035,2026-01,11.34,264.2,274.87
S0035,2026-02,11.34,234.8,227.82
S0035,2026-03,10.39,170.5,153.2
S0035,2026-04,11.34,316.7,324.78
S0035,2026-05,11.34,171.8,161.85
S0035,2026-06,11.34,206.4,215.69
S0036,2024-07,10.07,31.0,31.33
S0036,2024-08,8.51,28.2,22.46
S0036,2024-09,10.07,16.8,16.63
S0036,2024-10,10.07,25.6,23.42
S0036,2024-11,10.07,30.6,30.68
S0036,2024-12,10.07,29.5,27.53
S0036,2025-01,8.71,26.2,21.8
S0036,2025-02,9.36,36.0,29.36
S0036,2025-03,10.07,21.3,25.45
S0036,2025-04,8.65,9.3,7.77
S0036,2025-05,8.79,28.8,25.6
S0036,2025-06,10.07,31.2,28.72
S0036,2025-07,10.07,24.7,23.86
S0036,2025-08,7.77,38.7,27.21
S0036,2025-09,10.07,20.5,22.83
S0036,2025-10,8.5,31.5,22.96
S0036,2025-11,8.52,40.7,31.64
S0036,2025-12,10.07,21.7,24.46
S0036,2026-01,9.42,10.9,10.94
S0036,2026-02,10.07,27.3,25.45
S0036,2026-03,10.07,23.6,23.56
S0036,2026-04,9.28,29.9,26.94
S0036,2026-05,8.07,40.9,30.77
S0036,2026-06,8.69,50.2,40.45
S0037,2024-07,13.32,85.8,63.49
S0037,2024-08,16.37,87.5,91.06
S0037,2024-09,13.58,124.1,99.99
S0037,2024-10,16.37,46.1,45.21
S0037,2024-11,14.2,106.0,89.67
S0037,2024-12,16.37,61.7,64.54
S0037,2025-01,16.37,102.9,100.86
S0037,2025-02,13.71,145.4,113.73
S0037,2025-03,16.37,102.4,101.78
S0037,2025-04,16.37,97.9,97.2
S0037,2025-05,16.37,119.1,120.61
S0037,2025-06,16.37,89.0,86.12
S0037,2025-07,16.37,79.7,75.91
S0037,2025-08,16.37,65.7,69.08
S0037,2025-09,13.49,156.2,117.83
S0037,2025-10,16.37,106.1,104.69
S0037,2025-11,16.37,64.3,68.51
S0037,2025-12,14.23,58.4,48.59
S0037,2026-01,16.37,98.5,89.57
S0037,2026-02,13.86,96.0,74.45
S0037,2026-03,16.37,79.0,73.67
S0037,2026-04,16.37,99.5,100.34
S0037,2026-05,12.56,137.1,106.36
S0037,2026-06,16.37,34.8,35.82
S0038,2024-07,4.12,63.0,44.02
S0038,2024-08,5.41,100.0,94.21
S0038,2024-09,5.41,139.7,133.27
S0038,2024-10,4.19,113.8,80.83
S0038,2024-11,4.16,169.1,122.03
S0038,2024-12,5.41,67.0,62.41
S0038,2025-01,5.41,31.5,31.71
S0038,2025-02,4.97,43.7,40.31
S0038,2025-03,4.72,81.2,69.55
S0038,2025-04,5.03,150.6,143.27
S0038,2025-05,5.41,65.4,74.31
S0038,2025-06,5.41,0.1,0.1
S0038,2025-07,5.41,45.8,46.33
S0038,2025-08,5.41,91.1,85.45
S0038,2025-09,5.41,70.3,70.0
S0038,2025-10,5.41,49.7,47.89
S0038,2025-11,4.49,94.0,70.85
S0038,2025-12,4.33,155.5,112.86
S0038,2026-01,4.19,33.4,21.69
S0038,2026-02,5.41,28.2,27.96
S0038,2026-03,4.98,18.0,16.27
S0038,2026-04,5.41,123.3,112.01
S0038,2026-05,5.41,128.7,130.49
S0038,2026-06,5.41,74.2,70.17
S0039,2024-07,5.45,14.8,13.99
S0039,2024-08,5.45,7.2,7.85
S0039,2024-09,4.98,19.2,17.53
S0039,2024-10,5.45,13.7,14.17
S0039,2024-11,5.45,13.8,12.7
S0039,2024-12,4.56,19.3,13.89
S0039,2025-01,5.45,5.6,5.31
S0039,2025-02,5.45,11.4,11.89
S0039,2025-03,5.45,13.7,14.66
S0039,2025-04,5.45,19.3,19.58
S0039,2025-05,4.27,13.8,9.4
S0039,2025-06,5.45,9.3,9.78
S0039,2025-07,5.45,6.1,5.85
S0039,2025-08,5.45,10.1,10.19
S0039,2025-09,5.45,10.5,10.27
S0039,2025-10,4.43,21.1,17.71
S0039,2025-11,5.45,13.3,13.56
S0039,2025-12,5.45,9.4,9.29
S0039,2026-01,4.47,12.5,8.59
S0039,2026-02,5.45,7.9,8.26
S0039,2026-03,5.45,9.9,10.65
S0039,2026-04,5.45,16.4,16.61
S0039,2026-05,4.6,12.6,10.31
S0039,2026-06,5.45,10.5,10.19
S0040,2024-07,15.84,26.4,18.9
S0040,2024-08,17.58,38.1,32.14
S0040,2024-09,19.26,39.1,40.97
S0040,2024-10,19.26,7.7,7.44
S0040,2024-11,15.55,24.0,15.78
S0040,2024-12,19.26,28.3,29.02
S0040,2025-01,14.72,32.3,18.24
S0040,2025-02,19.26,21.7,20.47
S0040,2025-03,19.26,12.3,12.75
S0040,2025-04,19.26,26.4,26.85
S0040,2025-05,19.26,14.6,15.95
S0040,2025-06,15.19,26.7,19.72
S0040,2025-07,19.26,24.6,23.0
S0040,2025-08,14.48,19.6,11.84
S0040,2025-09,15.52,35.7,24.06
S0040,2025-10,19.26,28.7,28.73
S0040,2025-11,15.36,31.8,21.4
S0040,2025-12,18.16,17.3,16.41
S0040,2026-01,19.26,0.4,0.4
S0040,2026-02,19.26,17.2,17.62
S0040,2026-03,19.26,13.9,13.62
S0040,2026-04,19.26,43.5,43.05
S0040,2026-05,19.26,16.2,16.35
S0040,2026-06,19.26,29.3,29.26
S0041,2024-07,1.57,50.0,35.19
S0041,2024-08,1.9,32.0,31.41
S0041,2024-09,1.69,60.6,51.24
S0041,2024-10,1.9,50.9,48.57
S0041,2024-11,1.9,45.6,44.12
S0041,2024-12,1.9,35.7,37.56
S0041,2025-01,1.9,35.9,34.41
S0041,2025-02,1.9,25.9,24.47
S0041,2025-03,1.74,68.5,59.51
S0041,2025-04,1.9,41.8,44.52
S0041,2025-05,1.9,38.9,38.15
S0041,2025-06,1.9,38.0,38.61
S0041,2025-07,1.9,47.0,46.98
S0041,2025-08,1.9,31.7,30.79
S0041,2025-09,1.44,84.3,54.55
S0041,2025-10,1.9,41.1,42.13
S0041,2025-11,1.9,39.6,38.47
S0041,2025-12,1.9,52.2,52.89
S0041,2026-01,1.9,30.0,29.51
S0041,2026-02,1.77,42.2,40.01
S0041,2026-03,1.9,53.9,56.13
S0041,2026-04,1.61,50.3,36.07
S0041,2026-05,1.9,40.3,40.29
S0041,2026-06,1.64,33.4,26.09
S0042,2024-07,35.0,19.2,14.39
S0042,2024-08,45.5,14.2,14.92
S0042,2024-09,45.5,21.6,19.79
S0042,2024-10,35.36,32.5,22.78
S0042,2024-11,45.5,18.0,19.0
S0042,2024-12,39.91,2.8,2.27
S0042,2025-01,45.5,10.7,11.61
S0042,2025-02,34.51,10.4,7.07
S0042,2025-03,40.12,17.8,15.97
S0042,2025-04,38.54,21.0,17.97
S0042,2025-05,35.75,19.4,15.59
S0042,2025-06,39.71,8.0,6.72
S0042,2025-07,42.89,6.7,5.99
S0042,2025-08,45.5,0.1,0.1
S0042,2025-09,35.47,16.6,12.66
S0042,2025-10,45.5,12.9,12.47
S0042,2025-11,45.5,9.1,8.72
S0042,2025-12,45.5,8.6,8.42
S0042,2026-01,45.5,8.9,9.44
S0042,2026-02,45.5,20.2,20.48
S0042,2026-03,45.5,12.4,12.89
S0042,2026-04,45.5,10.2,10.26
S0042,2026-05,45.5,10.2,10.02
S0042,2026-06,45.5,16.3,17.29
S0043,2024-07,8.75,264.9,203.15
S0043,2024-08,10.35,306.3,318.6
S0043,2024-09,8.7,385.9,305.86
S0043,2024-10,10.35,342.7,351.68
S0043,2024-11,10.35,245.2,238.76
S0043,2024-12,9.33,312.5,273.14
S0043,2025-01,10.35,231.5,235.04
S0043,2025-02,10.35,179.3,182.43
S0043,2025-03,10.35,245.3,262.62
S0043,2025-04,10.35,179.4,180.65
S0043,2025-05,10.35,201.6,212.1
S0043,2025-06,9.41,235.6,200.37
S0043,2025-07,8.88,122.7,103.81
S0043,2025-08,10.35,218.8,219.23
S0043,2025-09,8.46,334.2,265.43
S0043,2025-10,10.35,119.1,111.86
S0043,2025-11,8.37,408.3,307.44
S0043,2025-12,9.7,225.7,223.55
S0043,2026-01,10.35,120.5,113.96
S0043,2026-02,10.35,155.6,149.98
S0043,2026-03,9.62,213.4,186.51
S0043,2026-04,10.35,168.5,170.36
S0043,2026-05,10.35,212.0,225.75
S0043,2026-06,10.35,196.4,197.54
S0044,2024-07,2.85,18.2,18.5
S0044,2024-08,2.85,26.8,26.92
S0044,2024-09,2.85,17.5,16.98
S0044,2024-10,2.85,12.6,13.08
S0044,2024-11,2.85,10.7,10.72
S0044,2024-12,2.61,0.1,0.1
S0044,2025-01,2.85,19.2,18.77
S0044,2025-02,2.59,23.2,20.53
S0044,2025-03,2.85,22.2,22.53
S0044,2025-04,2.85,25.4,27.89
S0044,2025-05,2.85,9.7,9.14
S0044,2025-06,2.85,9.7,9.29
S0044,2025-07,2.45,16.1,12.63
S0044,2025-08,2.85,14.1,14.62
S0044,2025-09,2.85,27.2,27.64
S0044,2025-10,2.85,26.4,27.86
S0044,2025-11,2.26,16.5,12.28
S0044,2025-12,2.85,22.2,22.17
S0044,2026-01,2.85,6.1,6.09
S0044,2026-02,2.85,19.3,19.44
S0044,2026-03,2.69,18.4,17.07
S0044,2026-04,2.16,52.1,31.54
S0044,2026-05,2.24,18.1,12.64
S0044,2026-06,2.85,11.1,11.95
S0045,2024-07,18.33,33.5,32.81
S0045,2024-08,18.33,34.2,33.8
S0045,2024-09,18.33,34.6,35.32
S0045,2024-10,18.33,56.7,57.11
S0045,2024-11,15.89,50.3,39.54
S0045,2024-12,18.33,46.9,46.86
S0045,2025-01,18.33,32.9,31.43
S0045,2025-02,18.33,38.9,38.83
S0045,2025-03,17.39,44.4,43.0
S0045,2025-04,18.33,43.6,42.06
S0045,2025-05,18.33,43.4,42.88
S0045,2025-06,13.83,84.8,53.29
S0045,2025-07,14.83,27.4,21.27
S0045,2025-08,18.33,39.3,38.91
S0045,2025-09,18.33,35.0,36.39
S0045,2025-10,15.85,58.4,44.75
S0045,2025-11,18.33,45.1,46.85
S0045,2025-12,18.33,38.0,36.77
S0045,2026-01,18.33,28.6,27.6
S0045,2026-02,16.28,44.1,37.37
S0045,2026-03,18.33,53.0,49.8
S0045,2026-04,18.33,59.6,56.85
S0045,2026-05,18.33,64.5,68.02
S0045,2026-06,14.78,62.1,43.01
S0046,2024-07,1.25,80.3,78.44
S0046,2024-08,1.13,91.1,74.36
S0046,2024-09,1.25,51.5,51.04
S0046,2024-10,0.98,132.4,85.48
S0046,2024-11,1.25,30.9,31.31
S0046,2024-12,1.16,68.3,59.14
S0046,2025-01,1.25,33.2,33.75
S0046,2025-02,1.06,89.1,64.99
S0046,2025-03,1.25,84.4,84.92
S0046,2025-04,1.16,139.2,114.29
S0046,2025-05,1.25,79.0,82.17
S0046,2025-06,1.25,46.0,47.73
S0046,2025-07,1.25,35.9,35.34
S0046,2025-08,1.25,63.5,63.33
S0046,2025-09,1.25,51.3,47.23
S0046,2025-10,1.04,136.7,96.06
S0046,2025-11,1.25,51.9,51.42
S0046,2025-12,1.25,62.6,66.79
S0046,2026-01,1.25,47.5,48.09
S0046,2026-02,1.11,92.9,77.55
S0046,2026-03,1.25,59.5,64.49
S0046,2026-04,1.25,78.8,82.75
S0046,2026-05,1.14,76.1,70.12
S0046,2026-06,1.05,46.9,35.98
S0047,2024-07,25.8,109.6,113.08
S0047,2024-08,25.8,160.3,166.3
S0047,2024-09,25.8,127.0,127.35
S0047,2024-10,25.8,252.1,241.08
S0047,2024-11,23.89,112.5,88.01
S0047,2024-12,25.8,76.2,81.3
S0047,2025-01,20.11,212.6,159.38
S0047,2025-02,25.8,147.7,146.05
S0047,2025-03,24.3,140.0,127.24
S0047,2025-04,25.8,162.7,153.94
S0047,2025-05,25.8,164.4,165.91
S0047,2025-06,19.72,344.5,222.02
S0047,2025-07,25.8,163.5,164.04
S0047,2025-08,22.48,106.8,94.03
S0047,2025-09,25.8,0.1,0.1
S0047,2025-10,20.25,131.8,93.24
S0047,2025-11,19.48,210.8,140.84
S0047,2025-12,25.8,126.1,119.84
S0047,2026-01,21.56,178.2,134.1
S0047,2026-02,25.8,136.2,128.16
S0047,2026-03,25.8,69.9,75.88
S0047,2026-04,25.8,93.4,102.78
S0047,2026-05,22.56,83.6,75.19
S0047,2026-06,23.03,32.6,28.84
S0048,2024-07,9.92,22.7,20.89
S0048,2024-08,10.47,16.0,14.3
S0048,2024-09,10.47,8.8,8.59
S0048,2024-10,10.47,32.8,32.61
S0048,2024-11,8.69,0.1,0.1
S0048,2024-12,8.25,30.9,23.49
S0048,2025-01,10.47,18.6,17.11
S0048,2025-02,10.47,11.4,12.05
S0048,2025-03,9.1,32.0,26.81
S0048,2025-04,8.17,20.2,13.79
S0048,2025-05,8.0,24.0,19.43
S0048,2025-06,10.47,19.9,18.65
S0048,2025-07,10.47,17.5,17.99
S0048,2025-08,10.47,12.4,13.26
S0048,2025-09,10.47,7.9,7.67
S0048,2025-10,8.07,42.1,31.99
S0048,2025-11,10.47,29.4,28.28
S0048,2025-12,10.47,13.5,13.15
S0048,2026-01,10.47,37.3,38.56
S0048,2026-02,9.72,15.7,13.5
S0048,2026-03,8.27,29.9,20.69
S0048,2026-04,10.47,18.9,19.1
S0048,2026-05,9.26,20.1,18.81
S0048,2026-06,8.13,27.5,19.36
S0049,2024-07,31.43,3.5,3.26
S0049,2024-08,31.43,9.4,9.21
S0049,2024-09,31.43,8.4,8.05
S0049,2024-10,31.43,8.4,8.38
S0049,2024-11,31.43,16.8,16.45
S0049,2024-12,31.43,7.6,7.39
S0049,2025-01,31.43,4.4,4.0
S0049,2025-02,31.43,4.7,4.47
S0049,2025-03,31.43,11.8,11.98
S0049,2025-04,31.43,10.7,10.08
S0049,2025-05,31.43,8.4,8.56
S0049,2025-06,31.43,10.2,10.17
S0049,2025-07,29.48,7.9,7.05
S0049,2025-08,31.43,9.4,9.64
S0049,2025-09,31.43,9.9,10.34
S0049,2025-10,31.43,6.1,6.6
S0049,2025-11,31.43,2.5,2.48
S0049,2025-12,31.43,13.6,13.41
S0049,2026-01,31.43,11.4,12.31
S0049,2026-02,31.43,7.4,7.85
S0049,2026-03,24.38,11.1,7.79
S0049,2026-04,31.43,10.7,10.46
S0049,2026-05,31.43,9.2,9.28
S0049,2026-06,31.43,10.8,10.56
S0050,2024-07,18.17,5.6,5.63
S0050,2024-08,18.17,8.5,8.62
S0050,2024-09,18.17,9.2,8.79
S0050,2024-10,15.68,17.5,13.79
S0050,2024-11,15.42,9.1,7.88
S0050,2024-12,18.17,2.0,1.82
S0050,2025-01,18.17,11.4,10.99
S0050,2025-02,18.17,5.7,5.9
S0050,2025-03,18.17,7.8,6.78
S0050,2025-04,18.17,11.4,10.92
S0050,2025-05,18.17,3.2,3.14
S0050,2025-06,15.36,6.6,4.98
S0050,2025-07,18.17,6.9,7.07
S0050,2025-08,18.17,8.1,8.03
S0050,2025-09,16.29,3.1,2.65
S0050,2025-10,14.81,9.3,7.67
S0050,2025-11,18.17,2.8,2.81
S0050,2025-12,16.19,7.0,6.26
S0050,2026-01,18.17,3.0,2.97
S0050,2026-02,18.17,0.1,0.1
S0050,2026-03,14.87,13.5,11.15
S0050,2026-04,18.17,8.5,8.4
S0050,2026-05,18.17,6.4,6.65
S0050,2026-06,18.17,4.7,4.85
S0051,2024-07,5.55,10.9,10.71
S0051,2024-08,4.5,10.4,7.22
S0051,2024-09,4.69,26.3,18.65
S0051,2024-10,5.22,20.3,18.42
S0051,2024-11,4.19,27.2,17.52
S0051,2024-12,4.21,12.2,7.47
S0051,2025-01,5.24,0.3,0.3
S0051,2025-02,5.55,12.0,11.73
S0051,2025-03,5.02,6.8,5.82
S0051,2025-04,5.55,16.5,16.25
S0051,2025-05,4.98,19.2,16.17
S0051,2025-06,5.55,6.7,6.12
S0051,2025-07,5.55,10.6,10.43
S0051,2025-08,5.55,8.9,8.47
S0051,2025-09,5.55,16.9,16.69
S0051,2025-10,5.55,14.9,15.63
S0051,2025-11,5.55,5.9,5.56
S0051,2025-12,4.73,7.8,5.96
S0051,2026-01,5.55,0.1,0.1
S0051,2026-02,5.55,3.6,3.65
S0051,2026-03,4.53,10.9,8.58
S0051,2026-04,5.55,1.5,1.49
S0051,2026-05,5.07,16.7,14.32
S0051,2026-06,5.55,1.3,1.22
S0052,2024-07,0.99,181.8,161.32
S0052,2024-08,0.99,262.7,245.62
S0052,2024-09,0.99,135.1,148.34
S0052,2024-10,0.99,255.4,240.34
S0052,2024-11,0.99,258.4,259.12
S0052,2024-12,0.86,298.0,239.02
S0052,2025-01,0.99,216.1,190.98
S0052,2025-02,0.99,181.0,186.06
S0052,2025-03,0.99,333.7,319.91
S0052,2025-04,0.99,248.2,269.92
S0052,2025-05,0.99,355.6,336.46
S0052,2025-06,0.99,214.3,203.46
S0052,2025-07,0.84,291.4,250.19
S0052,2025-08,0.99,166.3,177.95
S0052,2025-09,0.99,200.5,218.4
S0052,2025-10,0.76,540.9,339.98
S0052,2025-11,0.99,219.6,205.53
S0052,2025-12,0.85,132.9,99.82
S0052,2026-01,0.99,136.5,139.13
S0052,2026-02,0.99,176.0,162.86
S0052,2026-03,0.99,137.2,130.66
S0052,2026-04,0.99,195.2,204.98
S0052,2026-05,0.99,260.7,282.0
S0052,2026-06,0.74,309.0,193.77
S0053,2024-07,4.89,90.4,82.17
S0053,2024-08,5.24,51.9,51.78
S0053,2024-09,5.24,65.1,63.33
S0053,2024-10,5.24,100.6,106.1
S0053,2024-11,5.24,75.5,70.76
S0053,2024-12,4.44,106.1,78.3
S0053,2025-01,5.24,60.3,65.69
S0053,2025-02,4.86,63.4,57.58
S0053,2025-03,5.24,96.2,94.78
S0053,2025-04,5.24,105.6,93.24
S0053,2025-05,5.24,83.1,80.38
S0053,2025-06,5.24,58.2,58.5
S0053,2025-07,5.24,52.4,50.47
S0053,2025-08,5.24,80.6,76.67
S0053,2025-09,5.24,66.3,70.41
S0053,2025-10,5.24,83.4,82.1
S0053,2025-11,5.24,64.7,62.51
S0053,2025-12,4.31,112.8,87.43
S0053,2026-01,5.24,57.7,60.19
S0053,2026-02,5.24,85.6,90.5
S0053,2026-03,4.66,122.8,105.57
S0053,2026-04,4.0,134.7,90.0
S0053,2026-05,5.24,60.7,59.94
S0053,2026-06,5.24,59.7,60.66
S0054,2024-07,5.42,34.0,35.84
S0054,2024-08,5.42,36.3,36.01
S0054,2024-09,5.42,38.4,38.83
S0054,2024-10,5.42,40.4,42.17
S0054,2024-11,5.42,46.3,46.44
S0054,2024-12,4.47,49.9,37.77
S0054,2025-01,5.42,40.5,38.66
S0054,2025-02,5.42,36.7,37.73
S0054,2025-03,4.48,56.4,41.08
S0054,2025-04,5.42,39.9,40.31
S0054,2025-05,5.42,38.3,39.31
S0054,2025-06,5.42,37.7,38.63
S0054,2025-07,5.42,39.8,38.6
S0054,2025-08,5.42,35.4,38.5
S0054,2025-09,4.11,58.6,39.87
S0054,2025-10,4.39,63.2,46.48
S0054,2025-11,5.42,35.5,37.39
S0054,2025-12,5.42,37.5,37.38
S0054,2026-01,4.23,34.4,24.17
S0054,2026-02,5.42,34.4,36.51
S0054,2026-03,4.63,43.9,37.83
S0054,2026-04,5.01,47.9,45.75
S0054,2026-05,5.42,35.0,37.58
S0054,2026-06,5.42,37.2,36.09
S0055,2024-07,1.55,168.3,115.15
S0055,2024-08,1.73,50.9,46.95
S0055,2024-09,1.89,72.8,80.28
S0055,2024-10,1.89,88.6,87.83
S0055,2024-11,1.49,117.6,75.89
S0055,2024-12,1.89,65.7,67.32
S0055,2025-01,1.89,46.5,48.88
S0055,2025-02,1.89,148.4,134.16
S0055,2025-03,1.74,74.3,66.95
S0055,2025-04,1.89,23.8,24.61
S0055,2025-05,1.45,134.9,88.79
S0055,2025-06,1.89,108.6,103.26
S0055,2025-07,1.71,80.6,73.16
S0055,2025-08,1.89,74.2,73.88
S0055,2025-09,1.89,71.9,65.91
S0055,2025-10,1.89,58.9,58.66
S0055,2025-11,1.89,29.3,29.36
S0055,2025-12,1.89,27.6,28.19
S0055,2026-01,1.89,39.6,39.89
S0055,2026-02,1.89,8.1,7.38
S0055,2026-03,1.68,89.9,73.04
S0055,2026-04,1.58,87.8,65.5
S0055,2026-05,1.89,33.3,33.6
S0055,2026-06,1.89,78.6,79.55
S0056,2024-07,208.95,3.7,3.92
S0056,2024-08,182.6,6.0,4.66
S0056,2024-09,208.95,9.0,9.21
S0056,2024-10,208.95,5.6,5.6
S0056,2024-11,208.95,5.6,5.65
S0056,2024-12,180.18,7.9,5.97
S0056,2025-01,208.95,9.2,9.28
S0056,2025-02,208.95,10.0,11.57
S0056,2025-03,208.95,4.5,4.73
